CWE,Language,Query id,Query name
CWE-20,Java/Kotlin,java/improper-validation-of-array-index,Improper validation of user-provided array index
CWE-20,Java/Kotlin,java/improper-validation-of-array-index-code-specified,Improper validation of code-specified array index
CWE-20,Java/Kotlin,java/log4j-injection,Potential Log4J LDAP JNDI injection (CVE-2021-44228)
CWE-20,JavaScript/TypeScript,js/count-untrusted-data-external-api,Frequency counts for external APIs that are used with untrusted data
CWE-20,JavaScript/TypeScript,js/incomplete-hostname-regexp,Incomplete regular expression for hostnames
CWE-20,JavaScript/TypeScript,js/incomplete-url-scheme-check,Incomplete URL scheme check
CWE-20,JavaScript/TypeScript,js/incomplete-url-substring-sanitization,Incomplete URL substring sanitization
CWE-20,JavaScript/TypeScript,js/incorrect-suffix-check,Incorrect suffix check
CWE-20,JavaScript/TypeScript,js/missing-origin-check,Missing origin verification inpostMessagehandler
CWE-20,JavaScript/TypeScript,js/regex/missing-regexp-anchor,Missing regular expression anchor
CWE-20,JavaScript/TypeScript,js/overly-large-range,Overly permissive regular expression range
CWE-20,JavaScript/TypeScript,js/untrusted-data-to-external-api,Untrusted data passed to external API
CWE-20,JavaScript/TypeScript,js/useless-regexp-character-escape,Useless regular-expression character escape
CWE-20,JavaScript/TypeScript,js/bad-tag-filter,Bad HTML filtering regexp
CWE-20,JavaScript/TypeScript,js/double-escaping,Double escaping or unescaping
CWE-20,JavaScript/TypeScript,js/incomplete-html-attribute-sanitization,Incomplete HTML attribute sanitization
CWE-20,JavaScript/TypeScript,js/incomplete-multi-character-sanitization,Incomplete multi-character sanitization
CWE-20,JavaScript/TypeScript,js/incomplete-sanitization,Incomplete string escaping or encoding
CWE-20,JavaScript/TypeScript,js/untrusted-data-to-external-api-more-sources,Untrusted data passed to external API with additional heuristic sources
CWE-20,Python,py/count-untrusted-data-external-api,Frequency counts for external APIs that are used with untrusted data
CWE-20,Python,py/untrusted-data-to-external-api,Untrusted data passed to external API
CWE-20,Python,py/cookie-injection,Construction of a cookie using user-supplied input
CWE-20,Python,py/incomplete-hostname-regexp,Incomplete regular expression for hostnames
CWE-20,Python,py/incomplete-url-substring-sanitization,Incomplete URL substring sanitization
CWE-20,Python,py/overly-large-range,Overly permissive regular expression range
CWE-20,Python,py/bad-tag-filter,Bad HTML filtering regexp
CWE-20,Ruby,rb/incomplete-hostname-regexp,Incomplete regular expression for hostnames
CWE-20,Ruby,rb/incomplete-url-substring-sanitization,Incomplete URL substring sanitization
CWE-20,Ruby,rb/regex/badly-anchored-regexp,Badly anchored regular expression
CWE-20,Ruby,rb/regex/missing-regexp-anchor,Missing regular expression anchor
CWE-20,Ruby,rb/overly-large-range,Overly permissive regular expression range
CWE-20,Ruby,rb/bad-tag-filter,Bad HTML filtering regexp
CWE-20,Ruby,rb/incomplete-multi-character-sanitization,Incomplete multi-character sanitization
CWE-20,Ruby,rb/incomplete-sanitization,Incomplete string escaping or encoding
CWE-20,Rust,rust/regex-injection,Regular expression injection
CWE-20,Rust,rust/uncontrolled-allocation-size,Uncontrolled allocation size
CWE-20,Swift,swift/incomplete-hostname-regexp,Incomplete regular expression for hostnames
CWE-20,Swift,swift/missing-regexp-anchor,Missing regular expression anchor
CWE-20,Swift,swift/bad-tag-filter,Bad HTML filtering regexp
CWE-22,C/C++,cpp/path-injection,Uncontrolled data used in path expression
CWE-22,C#,cs/path-injection,Uncontrolled data used in path expression
CWE-22,C#,cs/zipslip,"Arbitrary file access during archive extraction (""Zip Slip"")"
CWE-22,C#,cs/webclient-path-injection,Uncontrolled data used in a WebClient
CWE-22,Go,go/path-injection,Uncontrolled data used in path expression
CWE-22,Go,go/unsafe-unzip-symlink,Arbitrary file write extracting an archive containing symbolic links
CWE-22,Go,go/zipslip,"Arbitrary file access during archive extraction (""Zip Slip"")"
CWE-22,Java/Kotlin,java/path-injection,Uncontrolled data used in path expression
CWE-22,Java/Kotlin,java/zipslip,"Arbitrary file access during archive extraction (""Zip Slip"")"
CWE-22,Java/Kotlin,java/partial-path-traversal,Partial path traversal vulnerability
CWE-22,Java/Kotlin,java/partial-path-traversal-from-remote,Partial path traversal vulnerability from remote
CWE-22,Java/Kotlin,java/openstream-called-on-tainted-url,openStream called on URLs created from remote source
CWE-22,JavaScript/TypeScript,js/path-injection,Uncontrolled data used in path expression
CWE-22,JavaScript/TypeScript,js/zipslip,"Arbitrary file access during archive extraction (""Zip Slip"")"
CWE-22,Python,py/path-injection,Uncontrolled data used in path expression
CWE-22,Python,py/tarslip,Arbitrary file write during tarfile extraction
CWE-22,Python,py/zipslip,"Arbitrary file access during archive extraction (""Zip Slip"")"
CWE-22,Python,py/tarslip-extended,Arbitrary file write during tarfile extraction
CWE-22,Python,py/unsafe-unpacking,Arbitrary file write during a tarball extraction from a user controlled source
CWE-22,Ruby,rb/zip-slip,"Arbitrary file access during archive extraction (""Zip Slip"")"
CWE-22,Ruby,rb/path-injection,Uncontrolled data used in path expression
CWE-22,Rust,rust/path-injection,Uncontrolled data used in path expression
CWE-22,Swift,swift/unsafe-unpacking,Arbitrary file write during a zip extraction from a user controlled source
CWE-22,Swift,swift/path-injection,Uncontrolled data used in path expression
CWE-23,C/C++,cpp/path-injection,Uncontrolled data used in path expression
CWE-23,C#,cs/path-injection,Uncontrolled data used in path expression
CWE-23,C#,cs/webclient-path-injection,Uncontrolled data used in a WebClient
CWE-23,Go,go/path-injection,Uncontrolled data used in path expression
CWE-23,Java/Kotlin,java/path-injection,Uncontrolled data used in path expression
CWE-23,Java/Kotlin,java/partial-path-traversal,Partial path traversal vulnerability
CWE-23,Java/Kotlin,java/partial-path-traversal-from-remote,Partial path traversal vulnerability from remote
CWE-23,JavaScript/TypeScript,js/path-injection,Uncontrolled data used in path expression
CWE-23,Python,py/path-injection,Uncontrolled data used in path expression
CWE-23,Ruby,rb/path-injection,Uncontrolled data used in path expression
CWE-23,Rust,rust/path-injection,Uncontrolled data used in path expression
CWE-23,Swift,swift/path-injection,Uncontrolled data used in path expression
CWE-36,C/C++,cpp/path-injection,Uncontrolled data used in path expression
CWE-36,C#,cs/path-injection,Uncontrolled data used in path expression
CWE-36,C#,cs/webclient-path-injection,Uncontrolled data used in a WebClient
CWE-36,Go,go/path-injection,Uncontrolled data used in path expression
CWE-36,Java/Kotlin,java/path-injection,Uncontrolled data used in path expression
CWE-36,Java/Kotlin,java/openstream-called-on-tainted-url,openStream called on URLs created from remote source
CWE-36,JavaScript/TypeScript,js/path-injection,Uncontrolled data used in path expression
CWE-36,Python,py/path-injection,Uncontrolled data used in path expression
CWE-36,Ruby,rb/path-injection,Uncontrolled data used in path expression
CWE-36,Rust,rust/path-injection,Uncontrolled data used in path expression
CWE-36,Swift,swift/path-injection,Uncontrolled data used in path expression
CWE-73,C/C++,cpp/path-injection,Uncontrolled data used in path expression
CWE-73,C#,cs/path-injection,Uncontrolled data used in path expression
CWE-73,C#,cs/webclient-path-injection,Uncontrolled data used in a WebClient
CWE-73,Go,go/path-injection,Uncontrolled data used in path expression
CWE-73,Java/Kotlin,java/path-injection,Uncontrolled data used in path expression
CWE-73,Java/Kotlin,java/file-path-injection,File Path Injection
CWE-73,JavaScript/TypeScript,js/path-injection,Uncontrolled data used in path expression
CWE-73,JavaScript/TypeScript,js/template-object-injection,Template Object Injection
CWE-73,Python,py/path-injection,Uncontrolled data used in path expression
CWE-73,Python,py/shell-command-constructed-from-input,Unsafe shell command constructed from library input
CWE-73,Ruby,rb/path-injection,Uncontrolled data used in path expression
CWE-73,Ruby,rb/kernel-open,"Use ofKernel.open,IO.reador similar sinks with user-controlled input"
CWE-73,Ruby,rb/non-constant-kernel-open,Use ofKernel.openorIO.reador similar sinks with a non-constant value
CWE-73,Ruby,rb/shell-command-constructed-from-input,Unsafe shell command constructed from library input
CWE-73,Rust,rust/path-injection,Uncontrolled data used in path expression
CWE-73,Swift,swift/path-injection,Uncontrolled data used in path expression
CWE-74,GitHub Actions,actions/envpath-injection/critical,PATH environment variable built from user-controlled sources
CWE-74,GitHub Actions,actions/envpath-injection/medium,PATH environment variable built from user-controlled sources
CWE-74,GitHub Actions,actions/envvar-injection/critical,Environment variable built from user-controlled sources
CWE-74,GitHub Actions,actions/envvar-injection/medium,Environment variable built from user-controlled sources
CWE-74,GitHub Actions,actions/code-injection/critical,Code injection
CWE-74,GitHub Actions,actions/code-injection/medium,Code injection
CWE-74,GitHub Actions,actions/cache-poisoning/code-injection,Cache Poisoning via low-privileged code injection
CWE-74,GitHub Actions,actions/output-clobbering/high,Output Clobbering
CWE-74,GitHub Actions,actions/command-injection/critical,Command built from user-controlled sources
CWE-74,GitHub Actions,actions/command-injection/medium,Command built from user-controlled sources
CWE-74,GitHub Actions,actions/argument-injection/critical,Argument injection
CWE-74,GitHub Actions,actions/argument-injection/medium,Argument injection
CWE-74,C/C++,cpp/non-constant-format,Non-constant format string
CWE-74,C/C++,cpp/command-line-injection,Uncontrolled data used in OS command
CWE-74,C/C++,cpp/cgi-xss,CGI script vulnerable to cross-site scripting
CWE-74,C/C++,cpp/sql-injection,Uncontrolled data in SQL query
CWE-74,C/C++,cpp/tainted-format-string,Uncontrolled format string
CWE-74,C/C++,cpp/wordexp-injection,Uncontrolled data used inwordexpcommand
CWE-74,C#,cs/path-injection,Uncontrolled data used in path expression
CWE-74,C#,cs/command-line-injection,Uncontrolled command line
CWE-74,C#,cs/web/xss,Cross-site scripting
CWE-74,C#,cs/sql-injection,SQL query built from user-controlled sources
CWE-74,C#,cs/ldap-injection,LDAP query built from user-controlled sources
CWE-74,C#,cs/xml-injection,XML injection
CWE-74,C#,cs/code-injection,Improper control of generation of code
CWE-74,C#,cs/resource-injection,Resource injection
CWE-74,C#,cs/uncontrolled-format-string,Uncontrolled format string
CWE-74,C#,cs/xml/xpath-injection,XPath injection
CWE-74,C#,cs/web/disabled-header-checking,Header checking disabled
CWE-74,C#,cs/webclient-path-injection,Uncontrolled data used in a WebClient
CWE-74,Go,go/path-injection,Uncontrolled data used in path expression
CWE-74,Go,go/command-injection,Command built from user-controlled sources
CWE-74,Go,go/stored-command,Command built from stored data
CWE-74,Go,go/html-template-escaping-bypass-xss,Cross-site scripting via HTML template escaping bypass
CWE-74,Go,go/reflected-xss,Reflected cross-site scripting
CWE-74,Go,go/stored-xss,Stored cross-site scripting
CWE-74,Go,go/sql-injection,Database query built from user-controlled sources
CWE-74,Go,go/unsafe-quoting,Potentially unsafe quoting
CWE-74,Go,go/xml/xpath-injection,XPath injection
CWE-74,Go,go/ldap-injection,LDAP query built from user-controlled sources
CWE-74,Go,go/dsn-injection,SQL Data-source URI built from user-controlled sources
CWE-74,Go,go/dsn-injection-local,SQL Data-source URI built from local user-controlled sources
CWE-74,Java/Kotlin,java/jndi-injection,JNDI lookup with user-controlled name
CWE-74,Java/Kotlin,java/xslt-injection,XSLT transformation with user-controlled stylesheet
CWE-74,Java/Kotlin,java/relative-path-command,Executing a command with a relative path
CWE-74,Java/Kotlin,java/command-line-injection,Uncontrolled command line
CWE-74,Java/Kotlin,java/exec-tainted-environment,Building a command with an injected environment variable
CWE-74,Java/Kotlin,java/concatenated-command-line,Building a command line with string concatenation
CWE-74,Java/Kotlin,java/android/webview-addjavascriptinterface,Access Java object methods through JavaScript exposure
CWE-74,Java/Kotlin,java/android/websettings-javascript-enabled,Android WebView JavaScript settings
CWE-74,Java/Kotlin,java/xss,Cross-site scripting
CWE-74,Java/Kotlin,java/concatenated-sql-query,Query built by concatenation with a possibly-untrusted string
CWE-74,Java/Kotlin,java/sql-injection,Query built from user-controlled sources
CWE-74,Java/Kotlin,java/ldap-injection,LDAP query built from user-controlled sources
CWE-74,Java/Kotlin,java/android/arbitrary-apk-installation,Android APK installation
CWE-74,Java/Kotlin,java/groovy-injection,Groovy Language injection
CWE-74,Java/Kotlin,java/insecure-bean-validation,Insecure Bean Validation
CWE-74,Java/Kotlin,java/jexl-expression-injection,Expression language injection (JEXL)
CWE-74,Java/Kotlin,java/mvel-expression-injection,Expression language injection (MVEL)
CWE-74,Java/Kotlin,java/spel-expression-injection,Expression language injection (Spring)
CWE-74,Java/Kotlin,java/server-side-template-injection,Server-side template injection
CWE-74,Java/Kotlin,java/netty-http-request-or-response-splitting,Disabled Netty HTTP header validation
CWE-74,Java/Kotlin,java/http-response-splitting,HTTP response splitting
CWE-74,Java/Kotlin,java/tainted-format-string,Use of externally-controlled format string
CWE-74,Java/Kotlin,java/xml/xpath-injection,XPath injection
CWE-74,Java/Kotlin,java/android/unsafe-android-webview-fetch,Unsafe resource fetching in Android WebView
CWE-74,Java/Kotlin,java/ognl-injection,OGNL Expression Language statement with user-controlled input
CWE-74,Java/Kotlin,java/log4j-injection,Potential Log4J LDAP JNDI injection (CVE-2021-44228)
CWE-74,Java/Kotlin,java/command-line-injection-extra,Command Injection into Runtime.exec() with dangerous command
CWE-74,Java/Kotlin,java/command-line-injection-extra-local,Command Injection into Runtime.exec() with dangerous command
CWE-74,Java/Kotlin,java/command-line-injection-experimental,Uncontrolled command line (experimental sinks)
CWE-74,Java/Kotlin,java/mybatis-annotation-sql-injection,SQL injection in MyBatis annotation
CWE-74,Java/Kotlin,java/mybatis-xml-sql-injection,SQL injection in MyBatis Mapper XML
CWE-74,Java/Kotlin,java/beanshell-injection,BeanShell injection
CWE-74,Java/Kotlin,java/android-insecure-dex-loading,Insecure loading of an Android Dex File
CWE-74,Java/Kotlin,java/jshell-injection,JShell injection
CWE-74,Java/Kotlin,java/javaee-expression-injection,Jakarta Expression Language injection
CWE-74,Java/Kotlin,java/jython-injection,Injection in Jython
CWE-74,Java/Kotlin,java/unsafe-eval,Injection in Java Script Engine
CWE-74,Java/Kotlin,java/spring-view-manipulation-implicit,Spring Implicit View Manipulation
CWE-74,Java/Kotlin,java/spring-view-manipulation,Spring View Manipulation
CWE-74,Java/Kotlin,java/xquery-injection,XQuery query built from user-controlled sources
CWE-74,JavaScript/TypeScript,js/disabling-electron-websecurity,Disabling Electron webSecurity
CWE-74,JavaScript/TypeScript,js/enabling-electron-renderer-node-integration,Enabling Node.js integration for Electron web content renderers
CWE-74,JavaScript/TypeScript,js/path-injection,Uncontrolled data used in path expression
CWE-74,JavaScript/TypeScript,js/template-object-injection,Template Object Injection
CWE-74,JavaScript/TypeScript,js/command-line-injection,Uncontrolled command line
CWE-74,JavaScript/TypeScript,js/indirect-command-line-injection,Indirect uncontrolled command line
CWE-74,JavaScript/TypeScript,js/second-order-command-line-injection,Second order command injection
CWE-74,JavaScript/TypeScript,js/shell-command-injection-from-environment,Shell command built from environment values
CWE-74,JavaScript/TypeScript,js/shell-command-constructed-from-input,Unsafe shell command constructed from library input
CWE-74,JavaScript/TypeScript,js/unnecessary-use-of-cat,Unnecessary use ofcatprocess
CWE-74,JavaScript/TypeScript,js/xss-through-exception,Exception text reinterpreted as HTML
CWE-74,JavaScript/TypeScript,js/reflected-xss,Reflected cross-site scripting
CWE-74,JavaScript/TypeScript,js/stored-xss,Stored cross-site scripting
CWE-74,JavaScript/TypeScript,js/html-constructed-from-input,Unsafe HTML constructed from library input
CWE-74,JavaScript/TypeScript,js/unsafe-jquery-plugin,Unsafe jQuery plugin
CWE-74,JavaScript/TypeScript,js/xss,Client-side cross-site scripting
CWE-74,JavaScript/TypeScript,js/xss-through-dom,DOM text reinterpreted as HTML
CWE-74,JavaScript/TypeScript,js/sql-injection,Database query built from user-controlled sources
CWE-74,JavaScript/TypeScript,js/code-injection,Code injection
CWE-74,JavaScript/TypeScript,js/bad-code-sanitization,Improper code sanitization
CWE-74,JavaScript/TypeScript,js/unsafe-code-construction,Unsafe code constructed from library input
CWE-74,JavaScript/TypeScript,js/unsafe-dynamic-method-access,Unsafe dynamic method access
CWE-74,JavaScript/TypeScript,js/bad-tag-filter,Bad HTML filtering regexp
CWE-74,JavaScript/TypeScript,js/incomplete-html-attribute-sanitization,Incomplete HTML attribute sanitization
CWE-74,JavaScript/TypeScript,js/incomplete-multi-character-sanitization,Incomplete multi-character sanitization
CWE-74,JavaScript/TypeScript,js/incomplete-sanitization,Incomplete string escaping or encoding
CWE-74,JavaScript/TypeScript,js/unsafe-html-expansion,Unsafe expansion of self-closing HTML tag
CWE-74,JavaScript/TypeScript,js/tainted-format-string,Use of externally-controlled format string
CWE-74,JavaScript/TypeScript,js/client-side-unvalidated-url-redirection,Client-side URL redirect
CWE-74,JavaScript/TypeScript,js/xpath-injection,XPath injection
CWE-74,JavaScript/TypeScript,js/prototype-polluting-assignment,Prototype-polluting assignment
CWE-74,JavaScript/TypeScript,js/prototype-pollution-utility,Prototype-polluting function
CWE-74,JavaScript/TypeScript,js/prototype-pollution,Prototype-polluting merge call
CWE-74,JavaScript/TypeScript,js/code-injection-dynamic-import,Code injection from dynamically imported code
CWE-74,JavaScript/TypeScript,js/env-key-and-value-injection,User controlled arbitrary environment variable injection
CWE-74,JavaScript/TypeScript,js/env-value-injection,User controlled environment variable value injection
CWE-74,JavaScript/TypeScript,js/command-line-injection-more-sources,Uncontrolled command line with additional heuristic sources
CWE-74,JavaScript/TypeScript,js/xss-more-sources,Client-side cross-site scripting with additional heuristic sources
CWE-74,JavaScript/TypeScript,js/sql-injection-more-sources,Database query built from user-controlled sources with additional heuristic sources
CWE-74,JavaScript/TypeScript,js/code-injection-more-sources,Code injection with additional heuristic sources
CWE-74,JavaScript/TypeScript,js/tainted-format-string-more-sources,Use of externally-controlled format string with additional heuristic sources
CWE-74,JavaScript/TypeScript,js/xpath-injection-more-sources,XPath injection with additional heuristic sources
CWE-74,JavaScript/TypeScript,js/prototype-polluting-assignment-more-sources,Prototype-polluting assignment with additional heuristic sources
CWE-74,Python,py/use-of-input,'input' function used in Python 2
CWE-74,Python,py/path-injection,Uncontrolled data used in path expression
CWE-74,Python,py/template-injection,Server Side Template Injection
CWE-74,Python,py/command-line-injection,Uncontrolled command line
CWE-74,Python,py/shell-command-constructed-from-input,Unsafe shell command constructed from library input
CWE-74,Python,py/jinja2/autoescape-false,Jinja2 templating with autoescape=False
CWE-74,Python,py/reflective-xss,Reflected server-side cross-site scripting
CWE-74,Python,py/sql-injection,SQL query built from user-controlled sources
CWE-74,Python,py/ldap-injection,LDAP query built from user-controlled sources
CWE-74,Python,py/code-injection,Code injection
CWE-74,Python,py/http-response-splitting,HTTP Response Splitting
CWE-74,Python,py/xpath-injection,XPath query built from user-controlled sources
CWE-74,Python,py/nosql-injection,NoSQL Injection
CWE-74,Python,py/paramiko-command-injection,Command execution on a secondary remote server
CWE-74,Python,py/reflective-xss-email,Reflected server-side cross-site scripting
CWE-74,Python,py/xslt-injection,XSLT query built from user-controlled sources
CWE-74,Python,py/js2py-rce,JavaScript code execution.
CWE-74,Ruby,rb/ldap-injection,LDAP Injection
CWE-74,Ruby,rb/server-side-template-injection,Server-side template injection
CWE-74,Ruby,rb/xpath-injection,XPath query built from user-controlled sources
CWE-74,Ruby,rb/path-injection,Uncontrolled data used in path expression
CWE-74,Ruby,rb/command-line-injection,Uncontrolled command line
CWE-74,Ruby,rb/kernel-open,"Use ofKernel.open,IO.reador similar sinks with user-controlled input"
CWE-74,Ruby,rb/non-constant-kernel-open,Use ofKernel.openorIO.reador similar sinks with a non-constant value
CWE-74,Ruby,rb/shell-command-constructed-from-input,Unsafe shell command constructed from library input
CWE-74,Ruby,rb/reflected-xss,Reflected server-side cross-site scripting
CWE-74,Ruby,rb/stored-xss,Stored cross-site scripting
CWE-74,Ruby,rb/html-constructed-from-input,Unsafe HTML constructed from library input
CWE-74,Ruby,rb/sql-injection,SQL query built from user-controlled sources
CWE-74,Ruby,rb/code-injection,Code injection
CWE-74,Ruby,rb/unsafe-code-construction,Unsafe code constructed from library input
CWE-74,Ruby,rb/incomplete-multi-character-sanitization,Incomplete multi-character sanitization
CWE-74,Ruby,rb/incomplete-sanitization,Incomplete string escaping or encoding
CWE-74,Ruby,rb/tainted-format-string,Use of externally-controlled format string
CWE-74,Rust,rust/regex-injection,Regular expression injection
CWE-74,Rust,rust/path-injection,Uncontrolled data used in path expression
CWE-74,Rust,rust/sql-injection,Database query built from user-controlled sources
CWE-74,Swift,swift/path-injection,Uncontrolled data used in path expression
CWE-74,Swift,swift/command-line-injection,System command built from user-controlled sources
CWE-74,Swift,swift/unsafe-webview-fetch,Unsafe WebView fetch
CWE-74,Swift,swift/sql-injection,Database query built from user-controlled sources
CWE-74,Swift,swift/unsafe-js-eval,JavaScript Injection
CWE-74,Swift,swift/uncontrolled-format-string,Uncontrolled format string
CWE-74,Swift,swift/predicate-injection,Predicate built from user-controlled sources
CWE-77,GitHub Actions,actions/envpath-injection/critical,PATH environment variable built from user-controlled sources
CWE-77,GitHub Actions,actions/envpath-injection/medium,PATH environment variable built from user-controlled sources
CWE-77,GitHub Actions,actions/envvar-injection/critical,Environment variable built from user-controlled sources
CWE-77,GitHub Actions,actions/envvar-injection/medium,Environment variable built from user-controlled sources
CWE-77,GitHub Actions,actions/command-injection/critical,Command built from user-controlled sources
CWE-77,GitHub Actions,actions/command-injection/medium,Command built from user-controlled sources
CWE-77,GitHub Actions,actions/argument-injection/critical,Argument injection
CWE-77,GitHub Actions,actions/argument-injection/medium,Argument injection
CWE-77,C/C++,cpp/command-line-injection,Uncontrolled data used in OS command
CWE-77,C/C++,cpp/wordexp-injection,Uncontrolled data used inwordexpcommand
CWE-77,C#,cs/command-line-injection,Uncontrolled command line
CWE-77,Go,go/command-injection,Command built from user-controlled sources
CWE-77,Go,go/stored-command,Command built from stored data
CWE-77,Go,go/unsafe-quoting,Potentially unsafe quoting
CWE-77,Java/Kotlin,java/relative-path-command,Executing a command with a relative path
CWE-77,Java/Kotlin,java/command-line-injection,Uncontrolled command line
CWE-77,Java/Kotlin,java/exec-tainted-environment,Building a command with an injected environment variable
CWE-77,Java/Kotlin,java/concatenated-command-line,Building a command line with string concatenation
CWE-77,Java/Kotlin,java/ognl-injection,OGNL Expression Language statement with user-controlled input
CWE-77,Java/Kotlin,java/command-line-injection-extra,Command Injection into Runtime.exec() with dangerous command
CWE-77,Java/Kotlin,java/command-line-injection-extra-local,Command Injection into Runtime.exec() with dangerous command
CWE-77,Java/Kotlin,java/command-line-injection-experimental,Uncontrolled command line (experimental sinks)
CWE-77,JavaScript/TypeScript,js/command-line-injection,Uncontrolled command line
CWE-77,JavaScript/TypeScript,js/indirect-command-line-injection,Indirect uncontrolled command line
CWE-77,JavaScript/TypeScript,js/second-order-command-line-injection,Second order command injection
CWE-77,JavaScript/TypeScript,js/shell-command-injection-from-environment,Shell command built from environment values
CWE-77,JavaScript/TypeScript,js/shell-command-constructed-from-input,Unsafe shell command constructed from library input
CWE-77,JavaScript/TypeScript,js/unnecessary-use-of-cat,Unnecessary use ofcatprocess
CWE-77,JavaScript/TypeScript,js/prototype-polluting-assignment,Prototype-polluting assignment
CWE-77,JavaScript/TypeScript,js/prototype-pollution-utility,Prototype-polluting function
CWE-77,JavaScript/TypeScript,js/prototype-pollution,Prototype-polluting merge call
CWE-77,JavaScript/TypeScript,js/command-line-injection-more-sources,Uncontrolled command line with additional heuristic sources
CWE-77,JavaScript/TypeScript,js/prototype-polluting-assignment-more-sources,Prototype-polluting assignment with additional heuristic sources
CWE-77,Python,py/command-line-injection,Uncontrolled command line
CWE-77,Python,py/shell-command-constructed-from-input,Unsafe shell command constructed from library input
CWE-77,Ruby,rb/command-line-injection,Uncontrolled command line
CWE-77,Ruby,rb/kernel-open,"Use ofKernel.open,IO.reador similar sinks with user-controlled input"
CWE-77,Ruby,rb/non-constant-kernel-open,Use ofKernel.openorIO.reador similar sinks with a non-constant value
CWE-77,Ruby,rb/shell-command-constructed-from-input,Unsafe shell command constructed from library input
CWE-77,Swift,swift/command-line-injection,System command built from user-controlled sources
CWE-78,GitHub Actions,actions/command-injection/critical,Command built from user-controlled sources
CWE-78,GitHub Actions,actions/command-injection/medium,Command built from user-controlled sources
CWE-78,C/C++,cpp/command-line-injection,Uncontrolled data used in OS command
CWE-78,C/C++,cpp/wordexp-injection,Uncontrolled data used inwordexpcommand
CWE-78,C#,cs/command-line-injection,Uncontrolled command line
CWE-78,Go,go/command-injection,Command built from user-controlled sources
CWE-78,Go,go/stored-command,Command built from stored data
CWE-78,Go,go/unsafe-quoting,Potentially unsafe quoting
CWE-78,Java/Kotlin,java/relative-path-command,Executing a command with a relative path
CWE-78,Java/Kotlin,java/command-line-injection,Uncontrolled command line
CWE-78,Java/Kotlin,java/exec-tainted-environment,Building a command with an injected environment variable
